epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4555,1.34732,2.93182,1.34444,0.98977,0.39485,0.96043,0.6978,0.96788,2.33943,1.06943,0.000218804,0.000218804,0.000218804
2,37.105,1.0488,0.98588,1.12433,0.93727,0.95794,0.9567,0.72506,0.87139,0.97849,1.00715,0.000438954,0.000438954,0.000438954
3,52.9343,0.97002,0.80776,1.07177,0.95344,0.96512,0.96712,0.72792,0.84151,0.71656,0.9812,0.000656903,0.000656903,0.000656903
4,68.5828,0.93589,0.74962,1.04258,0.94862,0.97517,0.9672,0.70571,0.92222,0.6351,1.00483,0.000657095,0.000657095,0.000657095
5,84.2207,0.8934,0.70279,1.02074,0.95603,0.97627,0.96379,0.73597,0.81302,0.59197,0.96414,0.000653793,0.000653793,0.000653793
6,100.122,0.85843,0.66658,1.00798,0.95616,0.97366,0.96586,0.73355,0.80221,0.57406,0.96352,0.000650492,0.000650492,0.000650492
7,116.273,0.87193,0.65572,1.01201,0.96527,0.96509,0.96392,0.74763,0.78754,0.57332,0.96494,0.00064719,0.00064719,0.00064719
8,132.163,0.86732,0.64155,1.00991,0.96373,0.97821,0.97124,0.74838,0.81812,0.53139,0.96636,0.000643888,0.000643888,0.000643888
9,147.89,0.84883,0.61696,1.00431,0.96356,0.9738,0.96753,0.7261,0.83729,0.51828,0.97143,0.000640587,0.000640587,0.000640587
10,163.49,0.82677,0.59836,0.99393,0.95569,0.95594,0.96716,0.71903,0.88445,0.58876,0.99993,0.000637285,0.000637285,0.000637285
11,179.098,0.83109,0.58651,0.99203,0.96453,0.97563,0.96473,0.74301,0.8127,0.50554,0.97499,0.000633983,0.000633983,0.000633983
12,194.662,0.81976,0.5718,0.98688,0.9632,0.97851,0.96877,0.73351,0.86905,0.51201,0.9782,0.000630682,0.000630682,0.000630682
13,210.33,0.81735,0.56886,0.9877,0.96538,0.97719,0.96694,0.73846,0.83599,0.51625,0.98198,0.00062738,0.00062738,0.00062738
14,225.884,0.81936,0.56763,0.98854,0.96559,0.97615,0.9688,0.76051,0.78185,0.49615,0.95816,0.000624079,0.000624079,0.000624079
15,241.501,0.80377,0.54554,0.98134,0.96367,0.97719,0.96619,0.72792,0.8668,0.49709,0.97314,0.000620777,0.000620777,0.000620777
16,257.098,0.79463,0.53008,0.97424,0.95807,0.97697,0.97119,0.76141,0.79679,0.49773,0.96715,0.000617475,0.000617475,0.000617475
17,272.757,0.79666,0.52774,0.9765,0.96572,0.97548,0.97014,0.75458,0.80707,0.47957,0.96671,0.000614174,0.000614174,0.000614174
18,288.362,0.78706,0.5307,0.97892,0.96786,0.96738,0.96677,0.75357,0.81403,0.48789,0.97618,0.000610872,0.000610872,0.000610872
19,303.911,0.77977,0.51742,0.97468,0.96544,0.97344,0.96429,0.7521,0.79157,0.47402,0.95779,0.00060757,0.00060757,0.00060757
20,319.468,0.78259,0.51367,0.97897,0.96273,0.97719,0.96532,0.74283,0.81476,0.46488,0.96543,0.000604269,0.000604269,0.000604269
21,335.169,0.79182,0.52036,0.98128,0.96478,0.98052,0.96909,0.73698,0.86804,0.47771,0.97468,0.000600967,0.000600967,0.000600967
22,350.899,0.7905,0.51282,0.97953,0.9648,0.97567,0.96872,0.75913,0.80514,0.45824,0.95662,0.000597665,0.000597665,0.000597665
23,366.657,0.77396,0.50828,0.97561,0.96808,0.95568,0.96506,0.73242,0.85245,0.49039,0.98462,0.000594364,0.000594364,0.000594364
24,380.982,0.76727,0.49222,0.97075,0.96614,0.97634,0.95959,0.71743,0.90352,0.49046,1.00252,0.000591062,0.000591062,0.000591062
25,389.918,0.76482,0.49048,0.96818,0.96326,0.97719,0.96137,0.71239,0.89272,0.49391,0.99529,0.00058776,0.00058776,0.00058776
26,398.787,0.7779,0.491,0.97273,0.96585,0.97719,0.9599,0.76685,0.77792,0.4335,0.95147,0.000584459,0.000584459,0.000584459
27,407.608,0.74984,0.47652,0.96827,0.96784,0.97719,0.96934,0.7597,0.80416,0.44429,0.96251,0.000581157,0.000581157,0.000581157
28,416.388,0.74721,0.47398,0.9641,0.96723,0.97719,0.96287,0.76813,0.77342,0.43323,0.95351,0.000577855,0.000577855,0.000577855
29,425.199,0.74499,0.46866,0.95952,0.96455,0.97719,0.96413,0.76846,0.78695,0.44104,0.95033,0.000574554,0.000574554,0.000574554
30,434.02,0.74098,0.46673,0.96008,0.96862,0.975,0.96401,0.74984,0.806,0.45133,0.95973,0.000571252,0.000571252,0.000571252
31,442.84,0.74685,0.46613,0.96291,0.96775,0.97719,0.96325,0.77739,0.75072,0.42569,0.93725,0.00056795,0.00056795,0.00056795
32,451.646,0.73732,0.46308,0.96084,0.9686,0.96908,0.97259,0.76128,0.82158,0.4439,0.96675,0.000564649,0.000564649,0.000564649
33,460.517,0.7381,0.45602,0.96064,0.96605,0.97619,0.96101,0.76012,0.80343,0.43052,0.95599,0.000561347,0.000561347,0.000561347
34,469.37,0.73893,0.4577,0.95945,0.96839,0.97472,0.97059,0.77872,0.76614,0.41786,0.95149,0.000558046,0.000558046,0.000558046
35,478.225,0.72171,0.44489,0.95266,0.96723,0.97507,0.96952,0.76767,0.77188,0.43216,0.94656,0.000554744,0.000554744,0.000554744
36,487.065,0.72022,0.44233,0.9521,0.9675,0.97719,0.96486,0.76768,0.80045,0.43997,0.9388,0.000551442,0.000551442,0.000551442
37,495.908,0.74002,0.45017,0.9603,0.96714,0.97282,0.96757,0.74129,0.84229,0.44619,0.97151,0.000548141,0.000548141,0.000548141
38,504.745,0.72448,0.44466,0.95589,0.95623,0.97553,0.96785,0.76932,0.78621,0.43486,0.94781,0.000544839,0.000544839,0.000544839
39,513.56,0.71788,0.44548,0.95611,0.96809,0.96828,0.96618,0.75295,0.82812,0.4418,0.97282,0.000541537,0.000541537,0.000541537
40,522.446,0.71123,0.43299,0.94584,0.96308,0.97719,0.96979,0.77396,0.80758,0.4214,0.95335,0.000538236,0.000538236,0.000538236
41,531.263,0.71852,0.4387,0.95388,0.96446,0.97739,0.96803,0.75379,0.81717,0.43967,0.96243,0.000534934,0.000534934,0.000534934
42,540.124,0.70327,0.42835,0.95039,0.96639,0.97719,0.97152,0.75675,0.80975,0.43352,0.95438,0.000531632,0.000531632,0.000531632
43,548.976,0.70984,0.43506,0.95181,0.96624,0.97719,0.96806,0.76913,0.78083,0.42102,0.93763,0.000528331,0.000528331,0.000528331
44,557.814,0.69869,0.42442,0.94495,0.96619,0.97719,0.96239,0.75906,0.81289,0.43459,0.97066,0.000525029,0.000525029,0.000525029
45,566.669,0.70093,0.41982,0.94638,0.96561,0.97719,0.96778,0.77298,0.76235,0.42269,0.94083,0.000521727,0.000521727,0.000521727
46,575.506,0.70266,0.43138,0.95001,0.96614,0.97719,0.97274,0.78111,0.75722,0.40991,0.93494,0.000518426,0.000518426,0.000518426
47,584.422,0.69492,0.42288,0.94517,0.96901,0.97453,0.96951,0.73644,0.85899,0.43588,0.98218,0.000515124,0.000515124,0.000515124
48,593.283,0.69529,0.42056,0.94528,0.96689,0.97712,0.96809,0.76737,0.76798,0.41731,0.94139,0.000511822,0.000511822,0.000511822
49,602.143,0.69856,0.4182,0.9435,0.96463,0.97736,0.97012,0.73164,0.88202,0.44298,1.00615,0.000508521,0.000508521,0.000508521
50,611.005,0.69892,0.41814,0.94464,0.96578,0.97574,0.96886,0.77726,0.7586,0.40974,0.93388,0.000505219,0.000505219,0.000505219
51,619.918,0.67599,0.40634,0.9409,0.96526,0.97719,0.96685,0.76753,0.76621,0.42036,0.94652,0.000501917,0.000501917,0.000501917
52,628.81,0.69362,0.41272,0.94797,0.96809,0.97507,0.96773,0.76731,0.77962,0.41666,0.94461,0.000498616,0.000498616,0.000498616
53,637.645,0.67282,0.39945,0.93659,0.96607,0.97719,0.96391,0.76544,0.77194,0.41328,0.95725,0.000495314,0.000495314,0.000495314
54,646.512,0.68694,0.4087,0.94191,0.96047,0.97483,0.96642,0.78909,0.73595,0.41303,0.93903,0.000492013,0.000492013,0.000492013
55,655.432,0.68154,0.40618,0.94232,0.96601,0.97644,0.96453,0.76618,0.77347,0.40882,0.95117,0.000488711,0.000488711,0.000488711
56,664.358,0.66446,0.3929,0.93469,0.96692,0.97719,0.96537,0.7648,0.79129,0.41316,0.95898,0.000485409,0.000485409,0.000485409
57,673.241,0.67143,0.40238,0.93726,0.96652,0.97719,0.96983,0.75341,0.83431,0.41825,0.97104,0.000482108,0.000482108,0.000482108
58,682.123,0.68061,0.40874,0.94077,0.9666,0.97515,0.97038,0.76471,0.77967,0.42305,0.9494,0.000478806,0.000478806,0.000478806
59,691.024,0.66608,0.39291,0.9358,0.96457,0.97719,0.97097,0.77826,0.76924,0.40825,0.94362,0.000475504,0.000475504,0.000475504
60,699.887,0.65808,0.39434,0.93083,0.96466,0.97719,0.967,0.78025,0.76082,0.41718,0.94019,0.000472203,0.000472203,0.000472203
61,708.774,0.65047,0.38783,0.92347,0.96661,0.97719,0.9673,0.77551,0.77707,0.40705,0.93871,0.000468901,0.000468901,0.000468901
62,717.635,0.65378,0.38889,0.92753,0.96838,0.97581,0.96724,0.77999,0.76859,0.39967,0.93802,0.000465599,0.000465599,0.000465599
63,726.482,0.6667,0.40281,0.93734,0.96801,0.97719,0.9683,0.78252,0.75957,0.39883,0.93851,0.000462298,0.000462298,0.000462298
64,735.336,0.66055,0.39408,0.93125,0.96696,0.97574,0.9679,0.77213,0.77456,0.4019,0.95751,0.000458996,0.000458996,0.000458996
65,744.172,0.65982,0.3949,0.93165,0.96623,0.97079,0.96863,0.78203,0.74666,0.40137,0.9313,0.000455694,0.000455694,0.000455694
66,753.053,0.65606,0.3898,0.93065,0.96829,0.97719,0.97024,0.77446,0.77697,0.39681,0.94385,0.000452393,0.000452393,0.000452393
67,761.897,0.65383,0.39555,0.93523,0.9666,0.97719,0.96889,0.77524,0.77069,0.398,0.95399,0.000449091,0.000449091,0.000449091
68,770.713,0.65583,0.38999,0.93355,0.96807,0.97719,0.97318,0.79021,0.72403,0.38903,0.93107,0.000445789,0.000445789,0.000445789
69,779.609,0.65402,0.38821,0.93071,0.96554,0.97598,0.96655,0.77299,0.77958,0.39158,0.94681,0.000442488,0.000442488,0.000442488
70,788.442,0.64119,0.38529,0.92409,0.96681,0.97719,0.96841,0.78311,0.74085,0.39263,0.92594,0.000439186,0.000439186,0.000439186
