epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55006,1.42923,4.13126,1.43183,0.02888,0.44153,0.20423,0.16985,0.96944,3.89654,1.14116,0.00019343,0.00019343,0.00019343
2,7.74275,1.12559,3.35138,1.17799,0.93073,0.26598,0.59231,0.45878,0.9873,2.99533,1.08527,0.000389634,0.000389634,0.000389634
3,10.7376,1.10541,2.57697,1.15012,0.49597,0.61107,0.65038,0.48064,1.01003,2.00975,1.09839,0.000581876,0.000581876,0.000581876
4,13.6688,1.10063,2.06026,1.13965,0.84042,0.75388,0.84419,0.59627,0.99204,1.33762,1.11235,0.00064719,0.00064719,0.00064719
5,16.628,1.04908,1.65651,1.11423,0.8488,0.82993,0.92388,0.67335,0.97263,1.09148,1.11485,0.000640587,0.000640587,0.000640587
6,19.5303,1.02772,1.29995,1.11277,0.8485,0.94942,0.95521,0.70182,0.93102,0.93994,1.07633,0.000633983,0.000633983,0.000633983
7,22.4497,0.95784,1.08947,1.06541,0.93365,0.93489,0.96768,0.72052,0.88059,0.94427,1.06315,0.00062738,0.00062738,0.00062738
8,25.3655,0.94832,0.99371,1.05474,0.94406,0.97544,0.96257,0.71875,0.91452,0.76714,1.06807,0.000620777,0.000620777,0.000620777
9,28.3146,0.94351,0.96334,1.05616,0.88937,0.96447,0.96499,0.74513,0.85259,0.75755,1.02205,0.000614174,0.000614174,0.000614174
10,31.288,0.90772,0.90006,1.02652,0.94578,0.97025,0.96989,0.74334,0.81708,0.7079,1.00532,0.00060757,0.00060757,0.00060757
11,34.1917,0.88129,0.86409,1.02903,0.95942,0.974,0.97031,0.74478,0.84709,0.70732,1.01741,0.000600967,0.000600967,0.000600967
12,37.1293,0.89919,0.85334,1.02275,0.95479,0.97421,0.96899,0.75112,0.84205,0.67742,1.01291,0.000594364,0.000594364,0.000594364
13,40.0302,0.86923,0.7958,1.02037,0.96111,0.97575,0.9654,0.75471,0.80684,0.69364,0.99676,0.00058776,0.00058776,0.00058776
14,42.9148,0.85654,0.76695,1.00955,0.96278,0.97212,0.96489,0.7552,0.81294,0.68042,1.00225,0.000581157,0.000581157,0.000581157
15,45.8558,0.84968,0.74856,1.00069,0.96713,0.97452,0.96504,0.74638,0.8214,0.66404,1.00088,0.000574554,0.000574554,0.000574554
16,48.7661,0.86117,0.75091,1.01093,0.96353,0.97722,0.96886,0.74536,0.83708,0.6528,1.00047,0.00056795,0.00056795,0.00056795
17,51.7015,0.8503,0.73059,0.99772,0.96176,0.97719,0.97093,0.76095,0.79639,0.6497,0.98215,0.000561347,0.000561347,0.000561347
18,54.6454,0.85615,0.71028,1.00031,0.95563,0.9779,0.97216,0.75976,0.81465,0.63085,0.98231,0.000554744,0.000554744,0.000554744
19,57.5902,0.83323,0.70834,0.99349,0.96215,0.97751,0.97532,0.75873,0.81071,0.62016,0.98282,0.000548141,0.000548141,0.000548141
20,60.4991,0.8419,0.70903,0.99066,0.96565,0.97841,0.97592,0.76223,0.78912,0.63678,0.97164,0.000541537,0.000541537,0.000541537
21,63.4315,0.82729,0.68363,0.98386,0.96525,0.97727,0.97581,0.76086,0.78294,0.60568,0.97454,0.000534934,0.000534934,0.000534934
22,66.354,0.82561,0.69133,0.99,0.96737,0.97546,0.97523,0.76183,0.77662,0.59301,0.97988,0.000528331,0.000528331,0.000528331
23,69.293,0.84073,0.67774,0.98688,0.96365,0.9755,0.97265,0.75207,0.80809,0.60612,0.9922,0.000521727,0.000521727,0.000521727
24,72.207,0.81721,0.6883,0.9954,0.96391,0.97397,0.97051,0.76231,0.78005,0.58546,0.98127,0.000515124,0.000515124,0.000515124
25,75.1199,0.80221,0.65312,0.98318,0.96707,0.97491,0.96881,0.76139,0.7794,0.58158,0.9776,0.000508521,0.000508521,0.000508521
26,78.0184,0.82003,0.66815,0.97832,0.9629,0.97839,0.97139,0.76597,0.77489,0.57775,0.9663,0.000501917,0.000501917,0.000501917
27,80.9157,0.79349,0.65547,0.97396,0.96623,0.97847,0.97136,0.76831,0.75891,0.57453,0.96631,0.000495314,0.000495314,0.000495314
28,83.817,0.78656,0.64878,0.97981,0.96639,0.97716,0.97219,0.77216,0.7461,0.56803,0.96246,0.000488711,0.000488711,0.000488711
29,86.7404,0.79053,0.63792,0.97009,0.96874,0.97671,0.96893,0.76863,0.76743,0.55797,0.96293,0.000482108,0.000482108,0.000482108
30,89.642,0.78542,0.63836,0.97455,0.969,0.9776,0.97055,0.77131,0.75671,0.54924,0.96025,0.000475504,0.000475504,0.000475504
31,92.5855,0.79759,0.63184,0.98385,0.96709,0.97568,0.97346,0.77342,0.74861,0.54786,0.96071,0.000468901,0.000468901,0.000468901
32,95.4889,0.78957,0.63516,0.9655,0.96635,0.97724,0.97261,0.76972,0.75342,0.551,0.95678,0.000462298,0.000462298,0.000462298
33,98.3835,0.79968,0.61984,0.97025,0.96794,0.97761,0.97608,0.77468,0.76311,0.54176,0.96265,0.000455694,0.000455694,0.000455694
34,101.29,0.79815,0.62793,0.97461,0.96855,0.97738,0.97439,0.78195,0.74772,0.54385,0.95866,0.000449091,0.000449091,0.000449091
35,104.204,0.76326,0.61154,0.95358,0.96872,0.97734,0.97454,0.78272,0.7404,0.54064,0.95463,0.000442488,0.000442488,0.000442488
36,107.11,0.7898,0.59615,0.96803,0.96874,0.97759,0.97564,0.78174,0.73982,0.55278,0.95849,0.000435884,0.000435884,0.000435884
37,110.024,0.76412,0.60113,0.96387,0.96346,0.9795,0.97652,0.77444,0.74083,0.53071,0.95728,0.000429281,0.000429281,0.000429281
38,112.982,0.77881,0.6156,0.96538,0.96648,0.97439,0.97509,0.76998,0.74868,0.53187,0.95926,0.000422678,0.000422678,0.000422678
39,115.906,0.78325,0.61422,0.96049,0.96747,0.9782,0.97144,0.76704,0.76579,0.53647,0.97463,0.000416075,0.000416075,0.000416075
40,118.891,0.77617,0.60134,0.96821,0.96512,0.97749,0.9723,0.77875,0.7407,0.51939,0.96041,0.000409471,0.000409471,0.000409471
41,121.852,0.76611,0.59549,0.96272,0.96492,0.97798,0.97069,0.78135,0.73486,0.51982,0.94962,0.000402868,0.000402868,0.000402868
